Departure,Return,Departure station id,Departure station name,Return station id,Return station name,Covered distance (m),Duration (sec.)
2021-06-02T11:21:11,2021-06-02T11:36:41,131,Elimäenkatu,16,Liisanpuistikko,3697.0,930
2021-06-02T11:21:07,2021-06-02T11:27:42,41,Ympyrätalo,20,Kaisaniemenpuisto,1198.0,391
2021-06-02T11:21:04,2021-06-02T11:28:34,45,Brahen kenttä,37,Töölönkatu,2091.0,449
2021-06-02T11:21:00,2021-06-02T11:27:21,26,Kamppi (M),5,Sepänkatu,1578.0,372
2021-06-02T11:20:52,2021-06-02T11:36:00,131,Elimäenkatu,41,Ympyrätalo,2752.0,904
2021-06-02T11:20:51,2021-06-02T11:39:42,725,Rummunlyöjänkatu,101,Munkkivuoren ostoskeskus,5091.0,1132
2021-06-02T11:20:51,2021-06-02T11:30:31,19,Rautatientori / itä,31,Marian sairaala,1395.0,578
2021-06-02T11:20:39,2021-06-02T11:27:36,3,Kapteeninpuistikko,29,Baana,1841.0,415
2021-06-02T11:20:38,2021-06-02T11:28:23,163,Lehtisaarentie,539,"Aalto-yliopisto (M), Tietotie",2101.0,460
2021-06-02T11:20:25,2021-06-02T11:40:10,402,Bermudankuja,402,Bermudankuja,1347.0,1177
2021-06-02T11:20:13,2021-06-02T11:24:12,93,Torpanranta,94,Laajalahden aukio,612.0,234
2021-06-02T11:20:10,2021-06-02T11:51:00,40,Hakaniemi (M),41,Ympyrätalo,1122.0,1848
2021-06-02T11:20:03,2021-06-02T11:26:57,252,Humalniementie,251,Laajasalon ostoskeskus,1047.0,409
2021-06-02T11:20:03,2021-06-02T11:41:01,126,Kalasatama (M),22,Rautatientori / länsi,3843.0,1252
2021-06-02T11:19:57,2021-06-02T11:30:32,47,Vanha Kauppahalli,41,Ympyrätalo,2695.0,631
2021-06-02T11:19:51,2021-06-02T11:23:28,335,Kurkimäentie,334,Varustuksentie,757.0,214
2021-06-02T11:19:45,2021-06-02T11:42:01,711,Kirjurinkuja,557,Louhentori,5080.0,1331
2021-06-02T11:19:42,2021-06-02T11:25:44,11,Unioninkatu,69,Kalevankatu,1251.0,356
2021-06-02T11:19:42,2021-06-02T11:36:35,126,Kalasatama (M),138,Arabiankatu,2495.0,1009
2021-06-02T11:19:34,2021-06-02T11:27:37,237,Aulangontie,234,Otto Brandtin tie,1357.0,478
2021-06-02T11:19:25,2021-06-02T11:22:59,547,Jämeräntaival,541,"Aalto-yliopisto (M), Korkeakouluaukio",682.0,209
2021-06-02T11:19:23,2021-06-02T11:33:51,76,Olympiastadion,16,Liisanpuistikko,3479.0,868
2021-06-02T11:19:17,2021-06-02T11:46:14,113,Pasilan asema,245,Kulosaari (M),4929.0,1613
2021-06-02T11:19:12,2021-06-02T11:25:46,11,Unioninkatu,69,Kalevankatu,1249.0,388
2021-06-02T11:19:07,2021-06-02T11:26:19,301,Aurinkotuulenkatu,306,Kauppakeskus Columbus,1161.0,428
2021-06-02T11:19:01,2021-06-02T11:32:59,63,Jätkäsaarenlaituri,11,Unioninkatu,2832.0,833
2021-06-02T11:18:49,2021-06-02T11:54:15,104,Kriikunakuja,126,Kalasatama (M),6166.0,2121
2021-06-02T11:18:47,2021-06-02T11:20:41,547,Jämeräntaival,545,Sähkömies,367.0,109
2021-06-02T11:18:44,2021-06-02T11:54:22,104,Kriikunakuja,126,Kalasatama (M),6136.0,2134
2021-06-02T11:18:42,2021-06-02T11:32:39,126,Kalasatama (M),17,Varsapuistikko,3369.0,834
2021-06-02T11:18:40,2021-06-02T11:28:39,201,Länsisatamankuja,31,Marian sairaala,1870.0,595
2021-06-02T11:18:38,2021-06-02T11:23:51,214,Valimon asema,208,Valimotie,892.0,310
2021-06-02T11:18:37,2021-06-02T18:18:07,240,Viikin normaalikoulu,236,Hernepellontie,0.0,25165
2021-06-02T11:18:34,2021-06-02T11:34:39,587,Hauenkallio,517,Länsituuli,3444.0,960
2021-06-02T11:18:06,2021-06-02T11:21:51,32,Eläinmuseo,19,Rautatientori / itä,699.0,219
2021-06-02T11:17:56,2021-06-02T11:24:12,51,Itälahdenkatu,52,Heikkilänaukio,1628.0,375
2021-06-02T11:17:45,2021-06-02T11:25:35,10,Kasarmitori,15,Ritarikatu,1053.0,465
2021-06-02T11:17:44,2021-06-02T12:41:28,161,Eteläesplanadi,1,Kaivopuisto,1351.0,548
2021-06-02T11:17:44,2021-06-02T11:25:30,18,Porthania,40,Hakaniemi (M),1065.0,462
2021-06-02T11:17:36,2021-06-02T11:30:16,133,Paavalinpuisto,144,Käpyläntie,2242.0,756
2021-06-02T11:17:34,2021-06-02T11:25:28,77,Nordenskiöldinaukio,33,Kauppakorkeakoulu,1915.0,469
2021-06-02T11:17:27,2021-06-02T11:24:16,134,Haukilahdenkatu,126,Kalasatama (M),1417.0,404
2021-06-02T11:17:22,2021-06-02T11:24:41,6,Hietalahdentori,64,Tyynenmerenkatu,1155.0,434
2021-06-02T11:17:18,2021-06-02T11:39:54,244,Relanderinaukio,44,Sörnäinen (M),3408.0,1344
2021-06-02T11:17:15,2021-06-02T11:34:25,85,Jalavatie,24,Mannerheimintie,3212.0,1026
2021-06-02T11:17:12,2021-06-02T11:26:26,16,Liisanpuistikko,41,Ympyrätalo,1562.0,550
2021-06-02T11:17:07,2021-06-02T11:24:37,66,Ehrenströmintie,65,Hernesaarenranta,1880.0,448
2021-06-02T11:17:06,2021-06-02T11:20:29,575,Tontunmäentie,573,Urheilupuisto (M),586.0,200
2021-06-02T11:17:05,2021-06-02T11:21:36,900,Orionintie,573,Urheilupuisto (M),849.0,266
2021-06-02T11:17:05,2021-06-02T11:21:44,553,Metsänneidonpolku,539,"Aalto-yliopisto (M), Tietotie",1080.0,275
2021-06-02T11:16:48,2021-06-02T11:25:19,523,Ahertajantie,545,Sähkömies,2533.0,513
2021-06-02T11:16:47,2021-06-02T11:23:46,111,Esterinportti,116,Linnanmäki,1977.0,416
2021-06-02T11:16:46,2021-06-02T11:24:54,76,Olympiastadion,149,Toinen linja,1402.0,484
2021-06-02T11:16:45,2021-06-02T11:26:19,122,Lintulahdenkatu,22,Rautatientori / länsi,2254.0,570
2021-06-02T11:16:39,2021-06-02T11:20:03,105,Tilkantori,96,Huopalahdentie,775.0,199
2021-06-02T11:16:38,2021-06-02T11:47:17,257,Margareetankuja,235,Katariina Saksilaisen katu,6722.0,1835
2021-06-02T11:16:34,2021-06-02T11:29:38,80,Jäähalli,63,Jätkäsaarenlaituri,3518.0,779
2021-06-02T11:16:32,2021-06-02T11:32:55,44,Sörnäinen (M),78,Messeniuksenkatu,3119.0,963
2021-06-02T11:16:26,2021-06-02T11:27:12,403,Verkkosaari,123,Näkinsilta,1843.0,643
2021-06-02T11:16:23,2021-06-02T11:22:53,27,Eerikinkatu,63,Jätkäsaarenlaituri,1037.0,385
2021-06-02T11:16:23,2021-06-02T11:25:55,135,Velodrominrinne,116,Linnanmäki,1406.0,568
2021-06-02T11:16:15,2021-06-02T11:35:40,66,Ehrenströmintie,40,Hakaniemi (M),2985.0,1160
2021-06-02T11:16:06,2021-06-02T11:25:46,142,Koskelantie,134,Haukilahdenkatu,2158.0,575
2021-06-02T11:16:02,2021-06-02T11:32:37,19,Rautatientori / itä,59,Salmisaarenranta,2971.0,991
2021-06-02T11:16:00,2021-06-02T11:20:37,105,Tilkantori,95,Munkkiniemen aukio,967.0,268
